statea,stateb,warstrtmnth,warstrtday,warstrtyr,warendmnth,warenday,warendyr,year,warolea,waroleb,wardyadrolea,wardyadroleb,outcomea,batdtha,batdthb,durindx,diff_in_days,diff_in_deaths,total_battle_dths
280,271,6,27,1866,7,3,1866,1866,2,3,1,3,1.0,100.0,100.0,1,6,0.0,200.0
271,325,6,24,1866,7,20,1866,1866,3,2,3,1,3.0,100.0,4000.0,1,26,-3900.0,4100.0
325,271,6,24,1866,7,20,1866,1866,2,3,1,3,1.0,4000.0,100.0,1,26,3900.0,4100.0
273,280,6,27,1866,7,3,1866,1866,3,2,3,1,3.0,100.0,100.0,1,6,0.0,200.0
280,273,6,27,1866,7,3,1866,1866,2,3,1,3,1.0,100.0,100.0,1,6,0.0,200.0
273,325,6,24,1866,7,20,1866,1866,3,2,3,1,3.0,100.0,4000.0,1,26,-3900.0,4100.0
325,273,6,24,1866,7,20,1866,1866,2,3,1,3,1.0,4000.0,100.0,1,26,3900.0,4100.0
275,280,6,27,1866,7,3,1866,1866,3,2,3,1,3.0,100.0,100.0,1,6,0.0,200.0
280,275,6,27,1866,7,3,1866,1866,2,3,1,3,1.0,100.0,100.0,1,6,0.0,200.0
275,325,6,24,1866,7,20,1866,1866,3,2,3,1,3.0,100.0,4000.0,1,26,-3900.0,4100.0
325,275,6,24,1866,7,20,1866,1866,2,3,1,3,1.0,4000.0,100.0,1,26,3900.0,4100.0
280,300,6,27,1866,7,3,1866,1866,2,3,1,3,1.0,100.0,28000.0,1,6,-27900.0,28100.0
300,280,6,27,1866,7,3,1866,1866,3,2,1,3,3.0,28000.0,100.0,1,6,27900.0,28100.0
300,325,6,24,1866,7,20,1866,1866,3,2,3,1,3.0,32500.0,4000.0,1,26,28500.0,36500.0
325,300,6,24,1866,7,20,1866,1866,2,3,1,3,1.0,4000.0,32500.0,1,26,-28500.0,36500.0
220,245,8,4,1870,11,15,1870,1870,3,2,3,1,3.0,152000.0,5600.0,1,103,146400.0,157600.0
245,220,8,4,1870,11,15,1870,1870,2,3,1,3,1.0,5600.0,152000.0,1,103,-146400.0,157600.0
220,255,8,4,1870,2,15,1871,1870,3,1,3,1,3.0,152000.0,44781.0,1,195,107219.0,196781.0
220,255,8,4,1870,2,15,1871,1871,3,1,3,1,3.0,152000.0,44781.0,2,195,107219.0,196781.0
255,220,8,4,1870,2,15,1871,1870,1,3,1,3,1.0,44781.0,152000.0,1,195,-107219.0,196781.0
255,220,8,4,1870,2,15,1871,1871,1,3,1,3,1.0,44781.0,152000.0,2,195,-107219.0,196781.0
220,267,8,4,1870,11,22,1870,1870,3,2,3,1,3.0,152000.0,956.0,1,110,151044.0,152956.0
267,220,8,4,1870,11,22,1870,1870,2,3,1,3,1.0,956.0,152000.0,1,110,-151044.0,152956.0
220,271,8,4,1870,11,25,1870,1870,3,2,3,1,3.0,152000.0,976.0,1,113,151024.0,152976.0
271,220,8,4,1870,11,25,1870,1870,2,3,1,3,1.0,976.0,152000.0,1,113,-151024.0,152976.0
90,92,3,20,1876,4,25,1876,1876,1,3,1,3,1.0,2000.0,2000.0,1,36,0.0,4000.0
92,90,3,20,1876,4,25,1876,1876,3,1,3,1,3.0,2000.0,2000.0,1,36,0.0,4000.0
365,640,5,11,1877,1,31,1878,1877,1,3,1,3,1.0,120000.0,165000.0,1,265,-45000.0,285000.0
365,640,5,11,1877,1,31,1878,1878,1,3,1,3,1.0,120000.0,165000.0,2,265,-45000.0,285000.0
