stateabb,statea,year,defensebudget,milsize,IronSteelProduct,EnergyUse,totalpop,urbanpop,CINC_Score_A,version_x,stateb,warstrtmnth,warstrtday,warstrtyr,warendmnth,warenday,warendyr,warolea,waroleb,wardyadrolea,wardyadroleb,outcomea,batdtha,batdthb,durindx,diff_in_days,diff_in_deaths,total_battle_dths,CINC_Score_B,version_y,diff_CINC
COL,100,1951,56122.0,17.0,0.0,3049.0,11615.0,2053.0,0.0026144000000000002,2011,710,8,2,1951,7,27,1953,4,2,1,3,2.0,140.0,422612.0,2,725,-422472.0,422752.0,0.10362439999999999,2011,-0.10100999999999999
COL,100,1951,56122.0,17.0,0.0,3049.0,11615.0,2053.0,0.0026144000000000002,2011,731,8,2,1951,7,27,1953,4,1,1,3,2.0,140.0,316579.0,3,725,-316439.0,316719.0,0.0022304,2011,0.0003840000000000002
COL,100,1952,59761.0,17.0,0.0,3222.0,11986.0,2266.0,0.0025594999999999997,2011,710,8,2,1951,7,27,1953,4,2,1,3,2.0,140.0,422612.0,3,725,-422472.0,422752.0,0.096398,2011,-0.09383849999999999
COL,100,1952,59761.0,17.0,0.0,3222.0,11986.0,2266.0,0.0025594999999999997,2011,731,8,2,1951,7,27,1953,4,1,1,3,2.0,140.0,316579.0,2,725,-316439.0,316719.0,0.0031201000000000002,2011,-0.0005606000000000005
COL,100,1953,85259.0,18.0,0.0,3898.0,12369.0,2470.0,0.0027105000000000002,2011,710,8,2,1951,7,27,1953,4,2,1,3,2.0,140.0,422612.0,1,725,-422472.0,422752.0,0.0951003,2011,-0.0923898
COL,100,1953,85259.0,18.0,0.0,3898.0,12369.0,2470.0,0.0027105000000000002,2011,731,8,2,1951,7,27,1953,4,1,1,3,2.0,140.0,316579.0,1,725,-316439.0,316719.0,0.0035673000000000002,2011,-0.0008568
ECU,130,1863,0.0,0.0,0.0,0.0,998.0,0.0,0.00025350000000000004,2011,100,12,6,1863,12,6,1863,1,3,1,3,3.0,700.0,300.0,1,0,400.0,1000.0,0.0008254,2011,-0.0005719
PER,135,1866,1049.0,18.0,0.0,0.0,2560.0,0.0,0.0023584,2011,230,1,14,1866,5,9,1866,4,1,3,1,1.0,600.0,300.0,1,115,300.0,900.0,0.020437200000000003,2011,-0.018078800000000003
PER,135,1879,0.0,4.0,0.0,0.0,2735.0,104.0,0.0013777000000000001,2011,155,5,21,1879,6,10,1883,4,1,1,3,3.0,9672.0,3276.0,5,1481,6396.0,12948.0,0.0017914,2011,-0.0004136999999999999
PER,135,1880,0.0,7.0,0.0,0.0,2747.0,104.0,0.0014938,2011,155,5,21,1879,6,10,1883,4,1,1,3,3.0,9672.0,3276.0,2,1481,6396.0,12948.0,0.0018512999999999997,2011,-0.00035749999999999975
PER,135,1881,0.0,0.0,0.0,0.0,2759.0,105.0,0.0014492,2011,155,5,21,1879,6,10,1883,4,1,1,3,3.0,9672.0,3276.0,4,1481,6396.0,12948.0,0.0023155000000000003,2011,-0.0008663000000000002
PER,135,1882,0.0,0.0,0.0,0.0,2771.0,105.0,0.001428,2011,155,5,21,1879,6,10,1883,4,1,1,3,3.0,9672.0,3276.0,3,1481,6396.0,12948.0,0.0024429,2011,-0.0010149
PER,135,1883,0.0,5.0,0.0,0.0,2759.0,105.0,0.0013604,2011,155,5,21,1879,6,10,1883,4,1,1,3,3.0,9672.0,3276.0,1,1481,6396.0,12948.0,0.0025644,2011,-0.001204
BRA,140,1851,0.0,20.0,0.0,53.0,7344.0,108.0,0.0074407,2011,160,7,19,1851,2,3,1852,1,3,1,3,1.0,500.0,800.0,2,199,-300.0,1300.0,0.0026585000000000003,2011,0.0047821999999999995
BRA,140,1852,2431.0,23.0,0.0,56.0,7456.0,110.0,0.0114167,2011,160,7,19,1851,2,3,1852,1,3,1,3,1.0,500.0,800.0,1,199,-300.0,1300.0,0.0027388,2011,0.0086779
BRA,140,1864,2413.0,19.0,0.0,176.0,8945.0,209.0,0.0055131,2011,150,12,23,1864,3,1,1870,3,1,3,1,1.0,100000.0,200000.0,1,1894,-100000.0,300000.0,0.0011916,2011,0.0043215
BRA,140,1865,2044.0,35.0,0.0,181.0,9082.0,227.0,0.0071419,2011,150,12,23,1864,3,1,1870,3,1,3,1,1.0,100000.0,200000.0,7,1894,-100000.0,300000.0,0.0018965999999999998,2011,0.0052453
BRA,140,1866,2609.0,77.0,0.0,171.0,8221.0,247.0,0.0093401,2011,150,12,23,1864,3,1,1870,3,1,3,1,1.0,100000.0,200000.0,6,1894,-100000.0,300000.0,0.0029195999999999996,2011,0.006420500000000001
BRA,140,1867,6598.0,74.0,0.0,186.0,8362.0,268.0,0.0137314,2011,150,12,23,1864,3,1,1870,3,1,3,1,1.0,100000.0,200000.0,4,1894,-100000.0,300000.0,0.0019558,2011,0.011775599999999999
BRA,140,1868,2562.0,73.0,0.0,188.0,9505.0,292.0,0.0097605,2011,150,12,23,1864,3,1,1870,3,1,3,1,1.0,100000.0,200000.0,3,1894,-100000.0,300000.0,0.0014177,2011,0.008342800000000001
BRA,140,1869,2444.0,73.0,0.0,185.0,9650.0,318.0,0.0100521,2011,150,12,23,1864,3,1,1870,3,1,3,1,1.0,100000.0,200000.0,2,1894,-100000.0,300000.0,0.00045999999999999996,2011,0.0095921
